timestamp,voltage,temperature,rule_anomaly,ml_anomaly,final_anomaly
1970-01-01 00:00:00.000000059,36,9,1,0,1
1970-01-01 00:00:00.000000059,23,7,1,0,1
1970-01-01 00:00:00.000000059,30,9,1,0,1
1970-01-01 00:00:00.000000059,18,8,1,0,1
1970-01-01 00:00:00.000000059,20,7,1,0,1
1970-01-01 00:00:00.000000059,30,7,1,0,1
1970-01-01 00:00:00.000000059,26,9,1,0,1
1970-01-01 00:00:00.000000059,32,9,1,0,1
1970-01-01 00:00:00.000000059,21,7,1,0,1
1970-01-01 00:00:00.000000059,18,7,1,0,1
1970-01-01 00:00:00.000000059,22,8,1,0,1
1970-01-01 00:00:00.000000059,26,7,1,0,1
1970-01-01 00:00:00.000000059,25,9,1,0,1
1970-01-01 00:00:00.000000059,23,9,1,0,1
1970-01-01 00:00:00.000000059,35,8,1,0,1
1970-01-01 00:00:00.000000059,30,9,1,0,1
1970-01-01 00:00:00.000000059,33,9,1,0,1
1970-01-01 00:00:00.000000060,17,8,1,0,1
1970-01-01 00:00:00.000000060,34,9,1,0,1
1970-01-01 00:00:00.000000060,22,7,1,0,1
1970-01-01 00:00:00.000000060,24,8,1,0,1
1970-01-01 00:00:00.000000060,20,8,1,0,1
1970-01-01 00:00:00.000000060,26,9,1,0,1
1970-01-01 00:00:00.000000060,20,7,1,0,1
1970-01-01 00:00:00.000000060,22,9,1,0,1
1970-01-01 00:00:00.000000060,23,9,1,0,1
1970-01-01 00:00:00.000000060,19,8,1,0,1
1970-01-01 00:00:00.000000060,36,9,1,0,1
1970-01-01 00:00:00.000000060,18,7,1,0,1
1970-01-01 00:00:00.000000060,21,9,1,0,1
1970-01-01 00:00:00.000000060,25,9,1,0,1
1970-01-01 00:00:00.000000060,38,8,1,0,1
1970-01-01 00:00:00.000000060,27,9,1,0,1
1970-01-01 00:00:00.000000060,25,7,1,0,1
1970-01-01 00:00:00.000000060,21,8,1,0,1
1970-01-01 00:00:00.000000060,26,9,1,0,1
1970-01-01 00:00:00.000000060,15,8,1,0,1
1970-01-01 00:00:00.000000060,22,9,1,0,1
1970-01-01 00:00:00.000000060,26,8,1,0,1
1970-01-01 00:00:00.000000060,27,8,1,0,1
1970-01-01 00:00:00.000000060,31,7,1,0,1
1970-01-01 00:00:00.000000060,24,9,1,0,1
1970-01-01 00:00:00.000000060,21,8,1,0,1
1970-01-01 00:00:00.000000060,25,9,1,0,1
1970-01-01 00:00:00.000000060,26,9,1,0,1
1970-01-01 00:00:00.000000060,30,10,1,0,1
1970-01-01 00:00:00.000000060,21,8,1,0,1
1970-01-01 00:00:00.000000060,48,9,0,1,1
1970-01-01 00:00:00.000000060,30,9,1,0,1
1970-01-01 00:00:00.000000060,29,9,1,0,1
1970-01-01 00:00:00.000000060,26,9,1,0,1
1970-01-01 00:00:00.000000060,22,9,1,0,1
1970-01-01 00:00:00.000000060,24,9,1,0,1
1970-01-01 00:00:00.000000060,22,9,1,0,1
1970-01-01 00:00:00.000000060,37,10,1,1,1
1970-01-01 00:00:00.000000060,20,10,1,0,1
1970-01-01 00:00:00.000000060,22,9,1,0,1
1970-01-01 00:00:00.000000060,19,8,1,0,1
1970-01-01 00:00:00.000000060,37,9,1,0,1
1970-01-01 00:00:00.000000060,26,8,1,0,1
1970-01-01 00:00:00.000000060,20,10,1,0,1
1970-01-01 00:00:00.000000060,24,9,1,0,1
1970-01-01 00:00:00.000000060,22,10,1,0,1
1970-01-01 00:00:00.000000060,24,8,1,0,1
1970-01-01 00:00:00.000000060,27,7,1,0,1
1970-01-01 00:00:00.000000060,30,9,1,0,1
1970-01-01 00:00:00.000000060,22,9,1,0,1
1970-01-01 00:00:00.000000060,25,8,1,0,1
1970-01-01 00:00:00.000000060,21,8,1,0,1
1970-01-01 00:00:00.000000060,26,10,1,0,1
1970-01-01 00:00:00.000000060,9,9,1,1,1
1970-01-01 00:00:00.000000060,33,8,1,0,1
1970-01-01 00:00:00.000000060,31,9,1,0,1
1970-01-01 00:00:00.000000060,23,9,1,0,1
1970-01-01 00:00:00.000000060,24,8,1,0,1
1970-01-01 00:00:00.000000060,29,9,1,0,1
1970-01-01 00:00:00.000000060,22,10,1,0,1
1970-01-01 00:00:00.000000060,20,9,1,0,1
1970-01-01 00:00:00.000000060,16,8,1,0,1
1970-01-01 00:00:00.000000060,19,10,1,0,1
1970-01-01 00:00:00.000000060,27,8,1,0,1
1970-01-01 00:00:00.000000060,26,8,1,0,1
1970-01-01 00:00:00.000000060,19,8,1,0,1
1970-01-01 00:00:00.000000060,23,9,1,0,1
1970-01-01 00:00:00.000000060,35,9,1,0,1
1970-01-01 00:00:00.000000060,16,7,1,0,1
1970-01-01 00:00:00.000000060,28,9,1,0,1
1970-01-01 00:00:00.000000060,22,9,1,0,1
1970-01-01 00:00:00.000000060,32,9,1,0,1
1970-01-01 00:00:00.000000060,23,8,1,0,1
1970-01-01 00:00:00.000000060,28,8,1,0,1
1970-01-01 00:00:00.000000060,17,9,1,0,1
1970-01-01 00:00:00.000000060,29,7,1,0,1
1970-01-01 00:00:00.000000060,37,9,1,0,1
1970-01-01 00:00:00.000000060,28,9,1,0,1
1970-01-01 00:00:00.000000060,27,9,1,0,1
1970-01-01 00:00:00.000000060,33,7,1,0,1
1970-01-01 00:00:00.000000060,20,8,1,0,1
1970-01-01 00:00:00.000000060,24,9,1,0,1
1970-01-01 00:00:00.000000060,19,9,1,0,1
1970-01-01 00:00:00.000000060,31,9,1,0,1
1970-01-01 00:00:00.000000060,23,9,1,0,1
1970-01-01 00:00:00.000000060,21,7,1,0,1
1970-01-01 00:00:00.000000060,18,7,1,0,1
1970-01-01 00:00:00.000000060,20,7,1,0,1
1970-01-01 00:00:00.000000060,34,8,1,0,1
1970-01-01 00:00:00.000000060,33,8,1,0,1
1970-01-01 00:00:00.000000060,27,9,1,0,1
1970-01-01 00:00:00.000000060,25,9,1,0,1
1970-01-01 00:00:00.000000060,21,9,1,0,1
1970-01-01 00:00:00.000000060,31,9,1,0,1
1970-01-01 00:00:00.000000060,18,8,1,0,1
1970-01-01 00:00:00.000000060,22,7,1,0,1
1970-01-01 00:00:00.000000060,30,9,1,0,1
1970-01-01 00:00:00.000000060,26,7,1,0,1
1970-01-01 00:00:00.000000060,25,7,1,0,1
1970-01-01 00:00:00.000000060,27,10,1,0,1
1970-01-01 00:00:00.000000060,34,7,1,0,1
1970-01-01 00:00:00.000000060,23,9,1,0,1
1970-01-01 00:00:00.000000060,24,7,1,0,1
1970-01-01 00:00:00.000000060,36,9,1,0,1
1970-01-01 00:00:00.000000060,18,7,1,0,1
1970-01-01 00:00:00.000000060,27,8,1,0,1
1970-01-01 00:00:00.000000060,26,9,1,0,1
1970-01-01 00:00:00.000000060,27,9,1,0,1
1970-01-01 00:00:00.000000060,33,9,1,0,1
1970-01-01 00:00:00.000000060,19,7,1,0,1
1970-01-01 00:00:00.000000060,20,9,1,0,1
1970-01-01 00:00:00.000000060,40,8,1,0,1
1970-01-01 00:00:00.000000060,18,8,1,0,1
1970-01-01 00:00:00.000000060,27,8,1,0,1
1970-01-01 00:00:00.000000060,30,9,1,0,1
1970-01-01 00:00:00.000000060,33,9,1,0,1
1970-01-01 00:00:00.000000060,19,9,1,0,1
1970-01-01 00:00:00.000000060,22,7,1,0,1
1970-01-01 00:00:00.000000060,23,9,1,0,1
1970-01-01 00:00:00.000000060,31,9,1,0,1
1970-01-01 00:00:00.000000060,25,8,1,0,1
1970-01-01 00:00:00.000000060,26,8,1,0,1
1970-01-01 00:00:00.000000060,26,8,1,0,1
1970-01-01 00:00:00.000000060,27,9,1,0,1
1970-01-01 00:00:00.000000060,22,9,1,0,1
1970-01-01 00:00:00.000000060,19,8,1,0,1
1970-01-01 00:00:00.000000060,30,9,1,0,1
1970-01-01 00:00:00.000000060,33,9,1,0,1
1970-01-01 00:00:00.000000060,37,7,1,0,1
1970-01-01 00:00:00.000000060,22,9,1,0,1
1970-01-01 00:00:00.000000060,33,9,1,0,1
1970-01-01 00:00:00.000000060,20,8,1,0,1
1970-01-01 00:00:00.000000060,37,8,1,0,1
1970-01-01 00:00:00.000000060,23,9,1,0,1
1970-01-01 00:00:00.000000060,30,7,1,0,1
1970-01-01 00:00:00.000000060,22,8,1,0,1
1970-01-01 00:00:00.000000060,30,9,1,0,1
1970-01-01 00:00:00.000000060,27,8,1,0,1
1970-01-01 00:00:00.000000060,27,7,1,0,1
1970-01-01 00:00:00.000000060,23,9,1,0,1
1970-01-01 00:00:00.000000060,37,10,1,1,1
1970-01-01 00:00:00.000000061,27,8,1,0,1
1970-01-01 00:00:00.000000061,29,8,1,0,1
1970-01-01 00:00:00.000000061,37,9,1,0,1
